No.,Time,Source,Destination,Protocol,Length,Info
5142,34.034367,DESKTOP-EB9QDOJ.local,scontent.fmaa14-1.fna.fbcdn.net,TCP,66,62979  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5143,34.034831,DESKTOP-EB9QDOJ.local,scontent.fmaa14-1.fna.fbcdn.net,TCP,66,62980  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5144,34.035254,DESKTOP-EB9QDOJ.local,scontent.fmaa14-1.fna.fbcdn.net,TCP,66,62981  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5149,34.042231,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62982  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5150,34.042443,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62983  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5226,34.112794,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62984  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5227,34.113018,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62985  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5237,34.117522,DESKTOP-EB9QDOJ.local,scontent.fmla1-1.fna.fbcdn.net,TCP,66,62986  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
5264,34.182116,DESKTOP-EB9QDOJ.local,scontent-maa2-2.xx.fbcdn.net,TCP,66,62987  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6170,35.564053,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62988  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6181,35.564985,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62989  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
6184,35.573091,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62990  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
